date,verse_title,phrase_indices,score,matches_woodruff,matches_scriptures,volume_title
"October 6, 1872 ",Doctrine and Covenants 128:21,"[(15633, 2890)]",0.7409,the Church of Jesus Christ of Latterday Saints met at,tribulations of this Church of Jesus Christ of Latterday Saints!,Doctrine and Covenants
"July 1, 1838 ",Doctrine and Covenants 132:19,"[(8096, 2903)]",0.74061,the New and Everlasting Covenant and had a dispensation of,and by the new and everlasting covenant and it is,Doctrine and Covenants
"January 1, 1872 ",Isaiah 9:19,"[(15468, 743)]",0.74057,that the wrath and indignation of the Lord of Hosts,Through the wrath of the Lord of hosts is the,Old Testament
"January 1, 1872 ",2 Nephi 19:19,"[(15468, 1583)]",0.74057,that the wrath and indignation of the Lord of Hosts,Through the wrath of the Lord of Hosts is the,Book of Mormon
"September 10, 1843 ",Jacob 6:8,"[(11536, 1691)]",0.74055,Inspiration the power of God and the gift of the,Christ and the power of God and the gift of,Book of Mormon
"January 21, 1847 ",Doctrine and Covenants 136:7,"[(17735, 3002)]",0.74035,expert men to take teams seeds and Farming utensils to,number of ablebodied and expert men to take teams seeds,Doctrine and Covenants
"September 8, 1851 ",1 Samuel 2:17,"[(20168, 355)]",0.74029,of the Lord Bring an offering to the Lord I,before the Lord for men abhorred the offering of the Lord,Old Testament
"January 21, 1847 ",Doctrine and Covenants 136:2,"[(17722, 2994)]",0.7401,and promise to keep all the commandments and Statutes of,organized into companies with a covenant and promise to keep all the commandments and statutes of the Lord our God,Doctrine and Covenants
"January 13, 1856 ",Doctrine and Covenants 98:16,"[(12522, 2644)]",0.7401,to the children and the hearts of the children to,turn the hearts of the children to their fathers and the hearts of the fathers to the children,Doctrine and Covenants
"July 2, 1840 ",Doctrine and Covenants 68:25,"[(7606, 2504)]",0.74002,the gift of the Holy Ghost at the same time,and the gift of the Holy Ghost by the laying,Doctrine and Covenants
"January 3, 1837 ",Isaiah 35:6,"[(4671, 798)]",0.73983,the blind the lame to leap as an hart the,Then shall the lame man leap as an hart and,Old Testament
"February 2, 1851 ",Doctrine and Covenants 110:15,"[(19556, 2718)]",0.73979,answer is to turn the hearts of the children to,To turn the hearts of the fathers to the children,Doctrine and Covenants
"April 6, 1852 ",Doctrine and Covenants 128:18,"[(21349, 2874)]",0.73973,as we have been we cannot be perfect without them,the dead For we without them cannot be made perfect,Doctrine and Covenants
"July 2, 1840 ",Doctrine and Covenants 34:2,"[(7638, 2356)]",0.73891,The light shineth in darkness and and again the third,The light and the life of the world a light which shineth in darkness and the darkness comprehendeth it not,Doctrine and Covenants
"July 2, 1840 ",Doctrine and Covenants 39:2,"[(7638, 2372)]",0.73891,The light shineth in darkness and and again the third,The light and the life of the world a light which shineth in darkness and the darkness comprehendeth it not,Doctrine and Covenants
"July 2, 1840 ",Doctrine and Covenants 45:7,"[(7638, 2399)]",0.73873,The light shineth in darkness and and again the third,the life of the worlda light that shineth in darkness and the darkness comprehendeth it not,Doctrine and Covenants
"March 8, 1839 ",Acts 2:38,"[(5227, 1266)]",0.7385,in the in the name of Jesus Christ I did,one of you in the name of Jesus Christ for,New Testament
"April 15, 1837 ",Numbers 26:50,"[(1001, 195)]",0.73837,be numbered with the one hundred forty and four thousand,and they that were numbered of them were forty and five thousand and four hundred,Old Testament
"April 30, 1854 ",2 Nephi 15:5,"[(14115, 1571)]",0.73833,would not be one I will now tell you what,And now go to I will tell you what I,Book of Mormon
"April 30, 1854 ",Isaiah 5:5,"[(14115, 732)]",0.73833,would not be one I will now tell you what,And now go to I will tell you what I,Old Testament
"October 6, 1872 ",Doctrine and Covenants 127:12,"[(15633, 2828)]",0.73828,the Church of Jesus Christ of Latterday Saints met at,Lord prophet and seer of The Church of Jesus Christ of Latterday Saints,Doctrine and Covenants
"February 23, 1848 ",Doctrine and Covenants 124:86,"[(25413, 2791)]",0.73807,friends when they die but if they die in the,if they die let them die unto me for they,Doctrine and Covenants
"April 6, 1852 ",1 Nephi 13:37,"[(21296, 1495)]",0.73804,power of the Holy Ghost and what greater gift can,gift and the power of the Holy Ghost and if,Book of Mormon
"October 20, 1855 ",Luke 2:11,"[(13487, 1201)]",0.73761,day in the City of David A Saviour which is,For unto you is born this day in the city of David a Saviour which is Christ the Lord,New Testament
"July 2, 1840 ",Doctrine and Covenants 10:58,"[(7638, 2252)]",0.73753,The light shineth in darkness and and again the third,I am the light which shineth in darkness and the darkness comprehendeth it not,Doctrine and Covenants
"July 2, 1840 ",Doctrine and Covenants 138:33,"[(7597, 3067)]",0.73749,the gift of the Holy Ghost by the laying on,baptism for the remission of sins the gift of the Holy Ghost by the laying on of hands,Doctrine and Covenants
"August 11, 1847 ",Doctrine and Covenants 98:16,"[(25123, 2644)]",0.73742,the fathers to the children and the children to their,turn the hearts of the children to their fathers and the hearts of the fathers to the children,Doctrine and Covenants
"September 11, 1837 ",Alma 60:14,"[(7860, 1992)]",0.73716,of the judgments of God that should come upon him,that the judgments of God will come upon this people,Book of Mormon
"April 30, 1846 ",3 Nephi 12:1,"[(17092, 2066)]",0.73715,Zion If ye are the sons of God ye shall,are ye if ye shall believe in me and be,Book of Mormon
"March 10, 1844 ",Doctrine and Covenants 110:15,"[(8739, 2718)]",0.73695,fathers unto the Children and the hearts of the children,To turn the hearts of the fathers to the children,Doctrine and Covenants
"July 2, 1840 ",Revelation 14:7,"[(7599, 1414)]",0.73693,with a loud voice saying Glory be to God forever,Saying with a loud voice Fear God and give glory,New Testament
"March 1, 1847 ",2 Samuel 19:35,"[(21838, 382)]",0.73682,am 40 years old this day [] I wrote 5,I am this day fourscore years old and can I,Old Testament
"June 24, 1845 ",Ether 15:8,"[(10071, 2174)]",0.7368,again pitched our tents near by the house of Brother,pitched their tents and Shiz also pitched his tents near,Book of Mormon
"August 28, 1846 ",Lamentations 3:43,"[(17320, 961)]",0.73666,Son thou hast spoken well I have all thou hast,Thou hast covered with anger and persecuted us thou hast slain thou hast not pitied,Old Testament
"January 13, 1856 ",Doctrine and Covenants 110:15,"[(12521, 2718)]",0.73626,"Lord"" ""And He shall turn the Hearts of the Fathers",To turn the hearts of the fathers to the children,Doctrine and Covenants
"October 6, 1868 ",Doctrine and Covenants 115:3,"[(16652, 2745)]",0.73623,of the Church of Jesus Christ of Latterday Saints in,of my Church of Jesus Christ of Latterday Saints scattered abroad in all the world,Doctrine and Covenants
"October 30, 1841 ",Alma 56:14,"[(11136, 1985)]",0.73622,a member of the City Council of the City of,the city of Zeezrom and the city of Cumeni and the city of Antiparah,Book of Mormon
"February 2, 1851 ",Doctrine and Covenants 98:16,"[(19570, 2644)]",0.73577,the fathers to their children the children to their fathers,turn the hearts of the children to their fathers and the hearts of the fathers to the children,Doctrine and Covenants
"March 3, 1840 ",Doctrine and Covenants 88:22,"[(6206, 2601)]",0.73549,able to abide a celestial law and go through and,For he who is not able to abide the law of a celestial kingdom cannot abide a celestial glory,Doctrine and Covenants
"February 12, 1841 ",Doctrine and Covenants 88:2,"[(3951, 2599)]",0.73545,ears of the Lord of Sabaoth who was once thy,up into the ears of the Lord of Sabaoth and,Doctrine and Covenants
"March 10, 1844 ",2 Nephi 27:1,"[(8748, 1612)]",0.73508,by this in the last days in the days of,But behold in the last days or in the days,Book of Mormon
"February 12, 1841 ",Doctrine and Covenants 98:2,"[(3951, 2640)]",0.73484,ears of the Lord of Sabaoth who was once thy,into the ears of the Lord of Sabaoth and are,Doctrine and Covenants
"April 30, 1849 ",Joshua 10:23,"[(18499, 265)]",0.73478,house the King then said I am your king I,the king of Hebron the king of Jarmuth the king of Lachish and the king of Eglon,Old Testament
"April 15, 1837 ",Doctrine and Covenants 64:5,"[(990, 2472)]",0.73467,all the mysteries of the kingdom of God and the,And the keys of the mysteries of the kingdom shall,Doctrine and Covenants
"September 10, 1843 ",Isaiah 55:11,"[(11493, 816)]",0.73459,his mouth and could not return unto him void the,my mouth it shall not return unto me void but,Old Testament
"December 31, 1840 ",Doctrine and Covenants 63:53,"[(2728, 2469)]",0.73458,the Coming of the Son of Man What are the,even in the day of the coming of the Son of Man,Doctrine and Covenants
"January 21, 1847 ",Amos 9:7,"[(17772, 1045)]",0.73457,the children of Israel out of the Land of Egypt,brought up Israel out of the land of Egypt and the Philistines from Caphtor and the Syrians from Kir,Old Testament
"June 21, 1840 ",Jacob 3:3,"[(9300, 1661)]",0.73454,ye sought to recover Israel WO WO WO unto you,But wo wo unto you that are not pure in,Book of Mormon
"July 1, 1838 ",Leviticus 23:24,"[(8075, 145)]",0.73439,day of the month and the first day of the,month in the first day of the month shall ye,Old Testament
"April 30, 1846 ",Psalms 8:4,"[(16991, 694)]",0.73432,mindful of him or the sun of man that thou,What is man that thou art mindful of him and the son of man that thou visitest him,Old Testament
"August 27, 1844 ",Acts 3:13,"[(1724, 1268)]",0.73426,heaven I called upon the God of Abraham Isaac Jacob,The God of Abraham and of Isaac and of Jacob,New Testament
"December 20, 1850 ",Doctrine and Covenants 121:46,"[(19369, 2767)]",0.73421,of truth and righteousness and thy name is written in,scepter an unchanging scepter of righteousness and truth and thy,Doctrine and Covenants
"April 13, 1840 ",Haggai 2:18,"[(8625, 1085)]",0.73418,It being the ninth day of the first month of,and twentieth day of the ninth month even from the,Old Testament
"January 13, 1841 ",Doctrine and Covenants 20:79,"[(5905, 2313)]",0.73408,which Blessings I ask God the Eternal Father in the,O God the Eternal Father we ask thee in the,Doctrine and Covenants
"January 13, 1841 ",Moroni 4:3,"[(5905, 2189)]",0.73408,which Blessings I ask God the Eternal Father in the,O God the Eternal Father we ask thee in the,Book of Mormon
"January 13, 1841 ",Moroni 5:2,"[(5905, 2198)]",0.73408,which Blessings I ask God the Eternal Father in the,O God the Eternal Father we ask thee in the,Book of Mormon
"January 13, 1841 ",Doctrine and Covenants 20:77,"[(5905, 2304)]",0.73408,which Blessings I ask God the Eternal Father in the,O God the Eternal Father we ask thee in the,Doctrine and Covenants
"January 22, 1843 ",Joseph Smith--Matthew 1:35,"[(6044, 3180)]",0.73402,my words shall not pass away If a man is,pass away yet my words shall not pass away but all shall be fulfilled,Pearl of Great Price
"March 10, 1844 ",Doctrine and Covenants 107:76,"[(8661, 2706)]",0.73398,the priesthood keys of this priesthood which office was to,to the presidency of this priesthood to the keys of,Doctrine and Covenants
"April 30, 1847 ",Daniel 12:5,"[(24424, 1025)]",0.73381,river and some on the south side of the river,river and the other on that side of the bank of the river,Old Testament
"July 27, 1847 ",Joshua 12:7,"[(25043, 268)]",0.73347,west of the valley we travled ^2^ miles west from,on the west from Baalgad in the valley of Lebanon,Old Testament
"December 19, 1841 ",Doctrine and Covenants 124:22,"[(11276, 2769)]",0.7331,his servant Joseph Smith Jr let my servant Brigham Young,Let my servant George and my servant Lyman and my,Doctrine and Covenants
"September 9, 1843 ",Revelation 4:8,"[(1946, 1406)]",0.73283,set time is come for the Lord God Almighty to,Lord God Almighty which was and is and is to come,New Testament
"April 15, 1837 ",Mormon 5:14,"[(957, 2121)]",0.73278,in the name of JESUS CHRIST the Son of the,be persuaded that Jesus is the Christ the Son of,Book of Mormon
"December 20, 1850 ",Mormon 5:14,"[(19403, 2121)]",0.73278,in the name of Jesus Christ the Son of the,be persuaded that Jesus is the Christ the Son of,Book of Mormon
"December 20, 1850 ",Acts 2:38,"[(19403, 1266)]",0.73251,in the name of Jesus Christ the Son of the,one of you in the name of Jesus Christ for,New Testament
"April 15, 1837 ",Acts 2:38,"[(957, 1266)]",0.73251,in the name of JESUS CHRIST the Son of the,one of you in the name of Jesus Christ for,New Testament
"March 27, 1837 ",1 Kings 9:1,"[(4753, 407)]",0.73244,building of the house of the Lord in Zion the,building of the house of the Lord and the king's,Old Testament
"April 19, 1847 ",2 Chronicles 26:21,"[(21878, 581)]",0.73229,was cut off from the ^Church^ and he with them,a leper for he was cut off from the house,Old Testament
"January 1, 1852 ",1 Kings 16:13,"[(20870, 413)]",0.73225,sins and the sins of his household call upon the,For all the sins of Baasha and the sins of,Old Testament
"June 23, 1838 ",Acts 21:29,"[(8058, 1287)]",0.73211,I had not seen him before for 7 or 8,For they had seen before with him in the city,New Testament
"December 31, 1840 ",James 1:27,"[(2958, 1368)]",0.73201,and undefiled religion before God And I was a looking,Pure religion and undefiled before God and the Father is,New Testament
"January 23, 1848 ",Doctrine and Covenants 93:29,"[(25363, 2629)]",0.73175,not created neither indeed can be and were from all,the light of truth was not created or made neither indeed can be,Doctrine and Covenants
"April 6, 1837 ",Psalms 89:52,"[(4888, 709)]",0.73173,and the LAMB Amen Amen and Amen This was repeated,Blessed be the Lord for evermore Amen and Amen,Old Testament
"June 13, 1847 ",Alma 8:15,"[(24985, 1846)]",0.73106,faithful in keeping the commandments of God I have taken,hast been faithful in keeping the commandments of God from,Book of Mormon
"October 20, 1855 ",1 Nephi 10:3,"[(13555, 1479)]",0.73096,the own due time of the Lord and receive some,to the own due time of the Lord they should,Book of Mormon
"August 16, 1844 ",2 Nephi 33:1,"[(7025, 1644)]",0.7309,kingdom unto us in the power of the Holy Ghost,the power of the Holy Ghost the power of the,Book of Mormon
"December 20, 1850 ",Genesis 26:3,"[(19426, 37)]",0.73086,unto thee thy duty yea and give unto thee many,and will bless thee for unto thee and unto thy,Old Testament
"April 30, 1837 ",Doctrine and Covenants 128:21,"[(1159, 2890)]",0.73084,members of the Church of Jesus Christ of Latterday Saints,tribulations of this Church of Jesus Christ of Latterday Saints!,Doctrine and Covenants
"February 18, 1840 ",1 Chronicles 1:53,"[(6107, 464)]",0.73053,Granvill the late Duke father of the present Duke of,Duke Kenaz duke Teman duke Mibzar,Old Testament
"February 18, 1840 ",Genesis 36:41,"[(6107, 43)]",0.73053,Granvill the late Duke father of the present Duke of,Duke Aholibamah duke Elah duke Pinon,Old Testament
"February 18, 1840 ",Genesis 36:42,"[(6107, 44)]",0.73053,Granvill the late Duke father of the present Duke of,Duke Kenaz duke Teman duke Mibzar,Old Testament
"February 18, 1840 ",1 Chronicles 1:52,"[(6107, 463)]",0.73053,Granvill the late Duke father of the present Duke of,Duke Aholibamah duke Elah duke Pinon,Old Testament
"April 30, 1847 ",Genesis 41:7,"[(24268, 50)]",0.73045,awoke and behold it was a dream 11 m May,full ears And Pharaoh awoke and behold it was a dream,Old Testament
"January 20, 1872 ",Doctrine and Covenants 43:25,"[(15487, 2382)]",0.7301,of God it was not by the ministering of angels,of my servants and by the ministering of angels and,Doctrine and Covenants
"January 4, 1852 ",Alma 11:44,"[(20993, 1875)]",0.73,sin against God the Father the Son and the Holy,the Son and God the Father and the Holy Spirit,Book of Mormon
"July 1, 1838 ",Acts 17:26,"[(8084, 1282)]",0.72967,that dwell upon the face of the earth My Father,for to dwell on all the face of the earth,New Testament
"September 10, 1843 ",Jeremiah 25:33,"[(11571, 851)]",0.7296,and the slain of the Lord is many that the,And the slain of the Lord shall be at that,Old Testament
"December 31, 1840 ",Doctrine and Covenants 76:10,"[(3249, 2521)]",0.72941,eye had not seen nor the ear heard nor the,seen nor ear heard nor yet entered into the heart of man,Doctrine and Covenants
"September 10, 1843 ",Jeremiah 31:6,"[(11562, 884)]",0.7293,upon mount Ephraim might cry arise ye and let us,the mount Ephraim shall cry Arise ye and let us go up to Zion unto the Lord our God,Old Testament
"April 30, 1854 ",Alma 22:27,"[(14452, 1898)]",0.72929,on the east the fort on the west we then,on the east and on the west and which was,Book of Mormon
"April 15, 1837 ",Doctrine and Covenants 28:15,"[(1061, 2338)]",0.72928,of Ephraim^ thou shalt have a celestial crown Thou shalt,shalt go until the time thou shalt return what thou shalt do,Doctrine and Covenants
"September 10, 1843 ",Mark 13:31,"[(11591, 1186)]",0.72921,earth should pass away his words should not pass away,Heaven and earth shall pass away but my words shall not pass away,New Testament
"September 10, 1843 ",Luke 21:33,"[(11591, 1227)]",0.72921,earth should pass away his words should not pass away,Heaven and earth shall pass away but my words shall not pass away,New Testament
"September 10, 1843 ",Matthew 24:35,"[(11591, 1165)]",0.72921,earth should pass away his words should not pass away,Heaven and earth shall pass away but my words shall not pass away,New Testament
"January 29, 1854 ",Isaiah 29:10,"[(14609, 784)]",0.72912,time the spirit of the Lord was poured out upon,For the Lord hath poured out upon you the spirit,Old Testament
"June 24, 1868 ",Doctrine and Covenants 127:12,"[(16625, 2828)]",0.72894,the Church of Jesus Christ of Latterday Saints The Presidency,Lord prophet and seer of The Church of Jesus Christ of Latterday Saints,Doctrine and Covenants
"January 21, 1847 ",Exodus 32:4,"[(17772, 122)]",0.72874,the children of Israel out of the Land of Egypt,Israel which brought thee up out of the land of Egypt,Old Testament
"January 21, 1847 ",1 Kings 12:28,"[(17772, 412)]",0.72874,the children of Israel out of the Land of Egypt,Israel which brought thee up out of the land of Egypt,Old Testament
"July 2, 1840 ",Alma 9:21,"[(7606, 1853)]",0.7287,the gift of the Holy Ghost at the same time,the gift of the Holy Ghost and the gift of translation,Book of Mormon
"September 9, 1843 ",Alma 11:22,"[(2007, 1863)]",0.72863,of the Lord for the spirit of the Lord is,to the Spirit of the Lord which is in me,Book of Mormon
"January 21, 1847 ",Doctrine and Covenants 136:5,"[(17729, 2999)]",0.72848,all the Teams waggons provisions clothing and other necessaries for,provisions clothing and other necessaries for the journey that they can,Doctrine and Covenants
"June 30, 1838 ",Ether 7:20,"[(8068, 2162)]",0.72845,of the blessings of the Kingdom of the kingdom of,the kingdom of Shule and the kingdom of Cohor the son of Noah,Book of Mormon
"July 1, 1838 ",Genesis 8:13,"[(8075, 7)]",0.72844,day of the month and the first day of the,first year in the first month the first day of,Old Testament
"April 30, 1843 ",Doctrine and Covenants 49:14,"[(8454, 2425)]",0.72842,gift of the Holy Ghost by the laying on of,Holy Ghost by the laying on of the hands of the elders of the church,Doctrine and Covenants
"July 1, 1838 ",Ezra 10:9,"[(8075, 623)]",0.72831,day of the month and the first day of the,month on the twentieth day of the month and all,Old Testament
"October 20, 1855 ",2 Nephi 27:10,"[(13555, 1622)]",0.7283,the own due time of the Lord and receive some,the own due time of the Lord that they may,Book of Mormon
"June 11, 1843 ",Psalms 32:8,"[(9634, 697)]",0.72825,thee in the world of spirits and will teach thee,I will instruct thee and teach thee in the way,Old Testament
"January 21, 1847 ",Numbers 31:48,"[(17724, 205)]",0.72813,Captains of Hundreds Captains of Fifties and Captains of Tens,the captains of thousands and captains of hundreds came near unto Moses,Old Testament
"September 10, 1843 ",Jacob 5:69,"[(11445, 1686)]",0.72804,vineyard to prune the vineyard once more for the last,of all the land of my vineyard for behold only this once will I prune my vineyard,Book of Mormon
"June 30, 1843 ",Alma 2:4,"[(7306, 1821)]",0.72782,us and deprive us of our rights and privileges as,deprive them of their rights and privileges of the church,Book of Mormon
"April 15, 1837 ",Deuteronomy 28:30,"[(1061, 245)]",0.72782,of Ephraim^ thou shalt have a celestial crown Thou shalt,with her thou shalt build an house and thou shalt,Old Testament
"April 30, 1837 ",Doctrine and Covenants 127:12,"[(1159, 2828)]",0.72771,members of the Church of Jesus Christ of Latterday Saints,Lord prophet and seer of The Church of Jesus Christ of Latterday Saints,Doctrine and Covenants
"August 8, 1844 ",Doctrine and Covenants 124:38,"[(6962, 2779)]",0.72759,build the house we will go into the wilderness and,in the wilderness and to build a house in the,Doctrine and Covenants
"December 4, 1838 ",Micah 4:5,"[(10810, 1053)]",0.72742,the name of GOD for we will ever keep his,of his god and we will walk in the name of the Lord our God for ever and ever,Old Testament
"January 21, 1847 ",Doctrine and Covenants 136:3,"[(17724, 2995)]",0.72738,Captains of Hundreds Captains of Fifties and Captains of Tens,Let the companies be organized with captains of hundreds captains,Doctrine and Covenants
"January 10, 1841 ",Doctrine and Covenants 45:67,"[(5884, 2416)]",0.72728,and to thee O Lord shall be all the glory,And the glory of the Lord shall be there and,Doctrine and Covenants
"January 21, 1847 ",Exodus 33:1,"[(17772, 125)]",0.72708,the children of Israel out of the Land of Egypt,out of the land of Egypt unto the land which,Old Testament
"March 29, 1838 ",Matthew 12:39,"[(4017, 1144)]",0.72705,that there should no sign be given but the sign,sign be given to it but the sign of the prophet Jonas,New Testament
"June 12, 1837 ",Mormon 9:29,"[(1198, 2134)]",0.72701,it in the name of Jesus Christ and I returned,in the name of Jesus Christ the Son of the,Book of Mormon
"October 7, 1856 ",Doctrine and Covenants 20:35,"[(12128, 2291)]",0.72695,power of God and the gift of the Holy Ghost,gift and power of the Holy Ghost the voice of God or the ministering of angels,Doctrine and Covenants
"July 1, 1838 ",Ezra 7:9,"[(8075, 618)]",0.72687,day of the month and the first day of the,For upon the first day of the first month began,Old Testament
"January 21, 1847 ",Doctrine and Covenants 136:37,"[(17814, 3054)]",0.72677,Apostles and from Jesus and his Apostles to Joseph Smith,Moses to Jesus and his apostles and from Jesus and,Doctrine and Covenants
"December 19, 1841 ",Mosiah 1:14,"[(11252, 1704)]",0.72659,I say unto you that if you do not help,For I say unto you that if he had not,Book of Mormon
"December 31, 1840 ",Acts 3:19,"[(3452, 1272)]",0.72635,about times of refreshing from the presence of the Lord,be blotted out when the times of refreshing shall come from the presence of the Lord,New Testament
"January 21, 1847 ",2 Samuel 24:4,"[(17724, 388)]",0.72605,Captains of Hundreds Captains of Fifties and Captains of Tens,captains of the host And Joab and the captains of,Old Testament
"June 13, 1847 ",1 Nephi 4:1,"[(24985, 1458)]",0.72602,faithful in keeping the commandments of God I have taken,let us be faithful in keeping the commandments of the,Book of Mormon
"February 4, 1851 ",Ether 1:43,"[(19658, 2137)]",0.72601,of God that they may raise up seed unto the,raise up unto me of thy seed and of the,Book of Mormon
"December 31, 1840 ",1 Corinthians 13:1,"[(3499, 1307)]",0.72594,"13th chapt ""Though I speak with the tongues of men",Though I speak with the tongues of men and of,New Testament
"August 27, 1844 ",Mark 12:26,"[(1724, 1185)]",0.72587,heaven I called upon the God of Abraham Isaac Jacob,of Abraham and the God of Isaac and the God of Jacob,New Testament
"October 15, 1840 ",1 Kings 9:1,"[(10976, 407)]",0.72584,concerning the building of the house of the Lord in,building of the house of the Lord and the king's,Old Testament
"January 13, 1856 ",Nehemiah 7:57,"[(12522, 650)]",0.72553,to the children and the hearts of the children to,The children of Solomon's servants the children of Sotai the children of Sophereth the children of Perida,Old Testament
"January 13, 1856 ",Ezra 2:55,"[(12522, 607)]",0.72553,to the children and the hearts of the children to,The children of Solomon's servants the children of Sotai the children of Sophereth the children of Peruda,Old Testament
"October 21, 1855 ",Doctrine and Covenants 133:56,"[(12986, 2934)]",0.72551,graves of the saints will be opened and they will,And the graves of the saints shall be opened and,Doctrine and Covenants
"August 11, 1847 ",Ezra 2:43,"[(25123, 595)]",0.72546,the fathers to the children and the children to their,The Nethinims the children of Ziha the children of Hasupha the children of Tabbaoth,Old Testament
"August 11, 1847 ",Nehemiah 7:46,"[(25123, 639)]",0.72546,the fathers to the children and the children to their,The Nethinims the children of Ziha the children of Hashupha the children of Tabbaoth,Old Testament
"January 20, 1872 ",John 3:19,"[(15629, 1237)]",0.72528,men love darkness rather than light because their deeds are,the world and men loved darkness rather than light because their deeds were evil,New Testament
"July 12, 1837 ",Isaiah 16:4,"[(7759, 761)]",0.72524,face to face and teach them the things of the,covert to them from the face of the spoiler for,Old Testament
"September 9, 1847 ",Doctrine and Covenants 124:129,"[(25191, 2804)]",0.725,Orson Pratt Heber Chase Kimball and Brigham Young O Pratt,They are Heber C Kimball Parley P Pratt Orson Pratt,Doctrine and Covenants
"October 21, 1855 ",Mark 5:15,"[(12966, 1177)]",0.7249,to see Jesus come but should we see him come,And they come to Jesus and see him that was,New Testament
"June 22, 1845 ",Doctrine and Covenants 138:53,"[(9958, 3073)]",0.72488,the Prophet and Patriarch Joseph Smith Jr and Hyrum Smith,The Prophet Joseph Smith and my father Hyrum Smith Brigham,Doctrine and Covenants
"June 27, 1839 ",Judges 6:22,"[(5666, 326)]",0.72461,an angel of God appears unto man face to face,I have seen an angel of the Lord face to face,Old Testament
"February 3, 1854 ",Mark 3:15,"[(14659, 1173)]",0.72458,heal the sick and cast out Devils in the name,And to have power to heal sicknesses and to cast out devils,New Testament
"February 23, 1848 ",Moroni 10:26,"[(25413, 2213)]",0.72421,friends when they die but if they die in the,and die for they die in their sins and they,Book of Mormon
"September 17, 1854 ",Mosiah 3:5,"[(13691, 1734)]",0.72416,to all Eternity but when all the Gods of Eternity,and is from all eternity to all eternity shall come,Book of Mormon
"August 27, 1843 ",Doctrine and Covenants 135:6,"[(1817, 2982)]",0.72413,the Book of the Book of Mormon and that Joseph,Book of Mormon and this book of Doctrine and Covenants,Doctrine and Covenants
"July 1, 1838 ",Deuteronomy 1:3,"[(8075, 215)]",0.72384,day of the month and the first day of the,the eleventh month on the first day of the month,Old Testament
"January 21, 1847 ",Doctrine and Covenants 136:32,"[(17795, 3041)]",0.72375,my Kingdom Let him that is ignorant learn wisdom by,Let him that is ignorant learn wisdom by humbling himself,Doctrine and Covenants
"June 4, 1844 ",Acts 3:13,"[(7918, 1268)]",0.72347,of Abraham of Isaac and of Jacob for thou art,The God of Abraham and of Isaac and of Jacob,New Testament
"June 24, 1868 ",Doctrine and Covenants 128:21,"[(16625, 2890)]",0.72328,the Church of Jesus Christ of Latterday Saints The Presidency,tribulations of this Church of Jesus Christ of Latterday Saints!,Doctrine and Covenants
"December 1, 1841 ",Matthew 12:22,"[(11144, 1140)]",0.72295,was possessed with a devil I went with him to,Then was brought unto him one possessed with a devil,New Testament
"April 16, 1847 ",Doctrine and Covenants 136:15,"[(21856, 3016)]",0.7229,4 Captains of fifties and Captains of tens I was,And appoint presidents and captains of hundreds and of fifties and of tens,Doctrine and Covenants
"July 2, 1840 ",1 Nephi 13:37,"[(7606, 1495)]",0.72285,the gift of the Holy Ghost at the same time,gift and the power of the Holy Ghost and if,Book of Mormon
"April 6, 1852 ",3 Nephi 21:23,"[(21393, 2094)]",0.72257,who repent shall assist the remnant of Jacob to build,And they shall assist my people the remnant of Jacob,Book of Mormon
"March 24, 1844 ",Numbers 3:27,"[(8925, 157)]",0.72246,his family and all the Smith family the heads of,the family of the Izeharites and the family of the,Old Testament
"June 28, 1835 ",Doctrine and Covenants 20:27,"[(3809, 2285)]",0.7223,should be chosen by the gifts of God and callings,believe in the gifts and callings of God by the,Doctrine and Covenants
"December 20, 1850 ",Genesis 49:25,"[(19410, 59)]",0.72226,and spiritual the blessings of Heaven and the blessings of,blessings of heaven above blessings of the deep that lieth under blessings of the breasts and of the womb,Old Testament
"December 19, 1841 ",Luke 11:23,"[(11247, 1205)]",0.72203,that he that gathereth not with us scattereth And they,He that is not with me is against me and he that gathereth not with me scattereth,New Testament
"March 10, 1844 ",2 Kings 24:4,"[(8871, 456)]",0.72189,and shed innocent blood for in the days of Elijah,And also for the innocent blood that he shed for,Old Testament
"January 22, 1843 ",Doctrine and Covenants 10:69,"[(6040, 2255)]",0.72189,of hell shall not prevail against it what rock Revelation,upon my rock and the gates of hell shall not prevail against them,Doctrine and Covenants
"April 6, 1837 ",Jeremiah 27:18,"[(4987, 862)]",0.72181,the night in the house of the Lord in prayer,left in the house of the Lord and in the,Old Testament
"August 20, 1843 ",Revelation 16:6,"[(6676, 1424)]",0.72172,blood to drink for they are worthy 6 v Some,and thou hast given them blood to drink for they are worthy,New Testament
"January 13, 1856 ",Joseph Smith--History 1:39,"[(12522, 3233)]",0.72137,to the children and the hearts of the children to,to the fathers and the hearts of the children shall,Pearl of Great Price
"January 22, 1843 ",Doctrine and Covenants 84:74,"[(5929, 2563)]",0.72133,the remission of sins But I say in the name,my name for the remission of their sins that they,Doctrine and Covenants
"October 9, 1851 ",Doctrine and Covenants 78:7,"[(20476, 2545)]",0.72127,not wisdom to give it unto you but if you,For if you will that I give unto you a,Doctrine and Covenants
"August 11, 1847 ",Doctrine and Covenants 27:9,"[(25123, 2335)]",0.72126,the fathers to the children and the children to their,to the children and the hearts of the children to,Doctrine and Covenants
